experiment_id,clip_name,freeze_backbone,learning_rate,weight_decay,batch_size,dropout,hidden_size,scheduler_type,epochs,best_epoch,train_loss,train_macro_f1,train_bal_acc,train_recall,val_loss,val_macro_f1,val_bal_acc,val_recall
84,ViT-B/32,TRUE,0.001,5.00E-05,16,0.3,256,cosine,10,10,0.172970951,0.934257095,0.934299821,0.934299821,1.035404095,0.699258507,0.702923977,0.702923977
85,ViT-B/32,TRUE,0.001,0.0001,16,0.3,512,none,10,10,0.242320611,0.904919985,0.904847832,0.904847832,1.130805213,0.686075681,0.692397661,0.692397661
86,ViT-B/32,TRUE,0.001,0.0001,16,0.3,512,onecycle,10,10,0.144073326,0.948940231,0.948982209,0.948982209,1.044193063,0.703592661,0.706432749,0.706432749
87,ViT-B/32,TRUE,0.001,0.0001,16,0.3,512,cosine,10,10,0.123170996,0.953194312,0.953173645,0.953173645,1.10030471,0.705010021,0.711111111,0.711111111
88,ViT-B/32,TRUE,0.001,5.00E-05,16,0.3,512,none,10,10,0.258137916,0.904242157,0.904324588,0.904324588,1.1092635,0.695513761,0.702923977,0.702923977
89,ViT-B/32,TRUE,0.001,5.00E-05,16,0.3,512,onecycle,10,10,0.147305851,0.948381425,0.948429301,0.948429301,0.993286483,0.720312143,0.723976608,0.723976608
90,ViT-B/32,TRUE,0.001,5.00E-05,16,0.3,512,cosine,10,10,0.131732081,0.952948248,0.953021196,0.953021196,1.15644799,0.705029695,0.706432749,0.706432749
91,ViT-B/32,TRUE,0.001,0.0001,16,0.5,128,none,10,10,0.447159751,0.824062004,0.824916012,0.824916012,0.827344333,0.691916915,0.700584795,0.700584795
92,ViT-B/32,TRUE,0.001,0.0001,16,0.5,128,onecycle,10,10,0.391975874,0.841326298,0.841647015,0.841647015,0.689125565,0.730015298,0.730994152,0.730994152
93,ViT-B/32,TRUE,0.001,0.0001,16,0.5,128,cosine,10,10,0.382503082,0.852699442,0.853361895,0.853361895,0.747444777,0.716566144,0.719298246,0.719298246
94,ViT-B/32,TRUE,0.001,5.00E-05,16,0.5,128,none,10,10,0.433632831,0.82422268,0.825164362,0.825164362,0.758829392,0.714645475,0.721637427,0.721637427
95,ViT-B/32,TRUE,0.001,5.00E-05,16,0.5,128,onecycle,10,10,0.41162752,0.837584579,0.838278176,0.838278176,0.728024774,0.725438735,0.728654971,0.728654971
96,ViT-B/32,TRUE,0.001,5.00E-05,16,0.5,128,cosine,10,10,0.376068501,0.850000366,0.850554609,0.850554609,0.746692192,0.724231224,0.729824561,0.729824561
97,ViT-B/32,TRUE,0.001,0.0001,16,0.5,256,none,10,10,0.378407725,0.850111687,0.850619075,0.850619075,0.820184359,0.724381022,0.730994152,0.730994152
98,ViT-B/32,TRUE,0.001,0.0001,16,0.5,256,onecycle,10,10,0.315145214,0.875860126,0.876338026,0.876338026,0.73781889,0.722145615,0.726315789,0.726315789
99,ViT-B/32,TRUE,0.001,0.0001,16,0.5,256,cosine,10,10,0.313942033,0.87603554,0.875991672,0.875991672,0.811269603,0.70461151,0.70994152,0.70994152
100,ViT-L/14,TRUE,0.001,0.0001,4,0.1,128,none,10,10,0.586220571,0.799225711,0.799625778,0.799625778,0.641282906,0.730123293,0.729824561,0.729824561
101,ViT-L/14,TRUE,0.001,0.0001,4,0.1,128,onecycle,10,10,0.475116156,0.828466871,0.828711845,0.828711845,0.667843335,0.745916884,0.743859649,0.743859649
102,ViT-L/14,TRUE,0.001,0.0001,4,0.1,128,cosine,10,10,0.468544856,0.838214699,0.838639125,0.838639125,0.687070197,0.743711328,0.747368421,0.747368421
103,ViT-L/14,TRUE,0.001,5.00E-05,4,0.1,128,none,10,10,0.576681486,0.799162786,0.799960496,0.799960496,0.667880765,0.736501153,0.742690058,0.742690058
104,ViT-L/14,TRUE,0.001,5.00E-05,4,0.1,128,onecycle,10,10,0.48129269,0.826410001,0.826542124,0.826542124,0.639445682,0.756086327,0.760233918,0.760233918
105,ViT-L/14,TRUE,0.001,5.00E-05,4,0.1,128,cosine,10,10,0.454647311,0.833501408,0.833799022,0.833799022,0.725516442,0.728187012,0.736842105,0.736842105
106,ViT-L/14,TRUE,0.001,0.0001,4,0.1,256,none,10,10,0.577991189,0.807510883,0.807859645,0.807859645,0.70941824,0.722713538,0.729824561,0.729824561
107,ViT-L/14,TRUE,0.001,0.0001,4,0.1,256,onecycle,10,10,0.436900207,0.849879081,0.84992071,0.84992071,0.706135632,0.746089787,0.748538012,0.748538012
108,ViT-L/14,TRUE,0.001,0.0001,4,0.1,256,cosine,10,10,0.417859213,0.846127081,0.846585281,0.846585281,0.761484404,0.734475384,0.742690058,0.742690058
109,ViT-L/14,TRUE,0.001,5.00E-05,4,0.1,256,none,10,10,0.552067632,0.816333718,0.816475804,0.816475804,0.711415801,0.734929497,0.738011696,0.738011696
110,ViT-L/14,TRUE,0.001,0.0001,4,0.3,512,none,10,10,0.575968317,0.799984775,0.800951483,0.800951483,0.71873346,0.713939932,0.720467836,0.720467836
111,ViT-L/14,TRUE,0.001,0.0001,4,0.3,512,onecycle,10,10,0.464692984,0.835038327,0.835289678,0.835289678,0.693866284,0.746060789,0.752046784,0.752046784
112,ViT-L/14,TRUE,0.001,0.0001,4,0.3,512,cosine,10,10,0.478510339,0.834698303,0.834941651,0.834941651,0.782123217,0.733819293,0.739181287,0.739181287
113,ViT-L/14,TRUE,0.001,5.00E-05,4,0.3,512,none,10,10,0.625335712,0.790182039,0.790690335,0.790690335,0.683721552,0.743503519,0.753216374,0.753216374
114,ViT-L/14,TRUE,0.001,5.00E-05,4,0.3,512,onecycle,10,10,0.472422498,0.836192408,0.836664515,0.836664515,0.656664102,0.733167714,0.740350877,0.740350877
115,ViT-L/14,TRUE,0.001,5.00E-05,4,0.3,512,cosine,10,10,0.47515172,0.83758421,0.83781394,0.83781394,0.707644603,0.739793752,0.742690058,0.742690058
116,ViT-L/14,TRUE,0.0005,0.0001,4,0.3,512,none,10,10,0.584627485,0.806242409,0.806858747,0.806858747,0.809478151,0.708014669,0.715789474,0.715789474
117,ViT-L/14,TRUE,0.0005,0.0001,4,0.3,512,onecycle,10,10,0.491351405,0.829608483,0.829569029,0.829569029,0.67207815,0.748095506,0.750877193,0.750877193
118,RN50,TRUE,0.001,0.0001,4,0.3,256,none,10,10,1.385703311,0.4162788,0.421473071,0.421473071,1.408305769,0.343181559,0.375438596,0.375438596
119,RN50,TRUE,0.001,0.0001,4,0.3,256,onecycle,10,10,1.354296997,0.423603911,0.430008807,0.430008807,1.435611652,0.322013693,0.349707602,0.349707602
120,RN50,TRUE,0.001,0.0001,4,0.3,256,cosine,10,10,1.325419531,0.445168012,0.449851189,0.449851189,1.378860141,0.371002887,0.402339181,0.402339181
121,RN50,TRUE,0.001,5.00E-05,4,0.3,256,none,10,10,1.398898897,0.408040428,0.413190073,0.413190073,1.413372776,0.354666011,0.38128655,0.38128655
122,RN50,TRUE,0.001,5.00E-05,4,0.3,256,onecycle,10,10,1.349828784,0.426810926,0.433422818,0.433422818,1.418802947,0.352237639,0.396491228,0.396491228
123,RN50,TRUE,0.001,5.00E-05,4,0.3,256,cosine,10,10,1.355052888,0.435569925,0.44025169,0.44025169,1.342904309,0.400331297,0.424561404,0.424561404
124,RN50,TRUE,0.001,0.0001,4,0.3,512,none,10,10,1.36113745,0.431338547,0.436282222,0.436282222,1.393237484,0.356358387,0.394152047,0.394152047
125,RN50,TRUE,0.001,0.0001,4,0.3,512,onecycle,10,10,1.319976656,0.449968347,0.453895275,0.453895275,1.418420526,0.345666593,0.374269006,0.374269006
126,RN50,TRUE,0.001,0.0001,4,0.3,512,cosine,10,10,1.313263614,0.460357542,0.465385421,0.465385421,1.449200484,0.368992931,0.383625731,0.383625731
127,RN50,TRUE,0.001,5.00E-05,4,0.3,512,none,10,10,1.383418999,0.417220895,0.422096491,0.422096491,1.394980678,0.350896411,0.383625731,0.383625731
128,RN50,TRUE,0.001,5.00E-05,4,0.3,512,onecycle,10,10,1.310503077,0.46732544,0.471714482,0.471714482,1.392655762,0.374197406,0.403508772,0.403508772
129,RN50,TRUE,0.001,5.00E-05,4,0.3,512,cosine,10,10,1.319929373,0.455885626,0.459455644,0.459455644,1.482067109,0.335453091,0.36374269,0.36374269
130,RN50,TRUE,0.001,0.0001,4,0.5,256,none,10,10,1.462477077,0.359346874,0.36641492,0.36641492,1.408508735,0.338603017,0.376608187,0.376608187
131,RN50,TRUE,0.001,0.0001,4,0.5,256,onecycle,10,10,1.427532407,0.368828097,0.378017348,0.378017348,1.426362226,0.355259593,0.378947368,0.378947368
132,RN50,TRUE,0.001,0.0001,4,0.5,256,cosine,10,10,1.425291647,0.381456396,0.390458694,0.390458694,1.386183022,0.340428184,0.367251462,0.367251462
133,RN50,TRUE,0.001,5.00E-05,4,0.5,256,none,10,10,1.470498489,0.363742019,0.370274939,0.370274939,1.413715763,0.325548665,0.373099415,0.373099415
134,RN50,TRUE,0.001,5.00E-05,4,0.5,256,onecycle,10,10,1.451577234,0.362737076,0.371624147,0.371624147,1.454679301,0.302618001,0.34502924,0.34502924
135,RN50,TRUE,0.001,5.00E-05,4,0.5,256,cosine,10,10,1.432785352,0.379131967,0.386266364,0.386266364,1.400719318,0.341351204,0.38245614,0.38245614
136,RN50,TRUE,0.001,0.0001,4,0.5,512,none,10,10,1.441754788,0.378297953,0.384919846,0.384919846,1.406449678,0.357522497,0.380116959,0.380116959
137,RN50,TRUE,0.001,0.0001,4,0.5,512,onecycle,10,10,1.398841465,0.408081916,0.413343415,0.413343415,1.432040572,0.346175897,0.367251462,0.367251462
138,RN50,TRUE,0.001,0.0001,4,0.5,512,cosine,10,10,1.3900944,0.402713605,0.410162035,0.410162035,1.460106964,0.321696434,0.36374269,0.36374269
139,RN50,TRUE,0.001,5.00E-05,4,0.5,512,none,10,10,1.451981275,0.373557337,0.377853811,0.377853811,1.402661887,0.348250996,0.389473684,0.389473684
140,RN50,TRUE,0.001,5.00E-05,4,0.5,512,onecycle,10,10,1.40058922,0.394522824,0.400732727,0.400732727,1.414360388,0.350183831,0.385964912,0.385964912
141,RN50,TRUE,0.001,5.00E-05,4,0.5,512,cosine,10,10,1.39320727,0.411136972,0.416597712,0.416597712,1.425303624,0.336119158,0.370760234,0.370760234
142,RN50,TRUE,0.001,0.0001,6,0.3,256,none,10,10,1.178696861,0.519991834,0.52356865,0.52356865,1.329375528,0.408459032,0.422222222,0.422222222
143,RN50,TRUE,0.001,0.0001,6,0.3,256,onecycle,10,10,1.118586387,0.547658407,0.553020944,0.553020944,1.371521707,0.380517584,0.409356725,0.409356725
144,RN50,TRUE,0.001,0.0001,6,0.3,256,cosine,10,10,1.114258382,0.547425792,0.551794923,0.551794923,1.372799809,0.414941273,0.431578947,0.431578947
145,RN50,TRUE,0.001,5.00E-05,6,0.3,256,none,10,10,1.194483734,0.515471571,0.519897366,0.519897366,1.417839289,0.416615827,0.429239766,0.429239766
146,RN50,TRUE,0.001,5.00E-05,6,0.3,256,onecycle,10,10,1.122154828,0.538892001,0.542592593,0.542592593,1.373559861,0.415812157,0.43625731,0.43625731
147,RN50,TRUE,0.001,5.00E-05,6,0.3,256,cosine,10,10,1.10331253,0.55206719,0.555715395,0.555715395,1.368392215,0.394616286,0.415204678,0.415204678
148,RN50,TRUE,0.001,0.0001,6,0.3,512,none,10,10,1.14179821,0.541581538,0.544565757,0.544565757,1.475510291,0.379724489,0.388304094,0.388304094
149,RN50,TRUE,0.001,0.0001,6,0.3,512,onecycle,10,10,1.059120552,0.570851099,0.573775259,0.573775259,1.422046885,0.390415007,0.405847953,0.405847953
150,RN50,TRUE,0.001,0.0001,6,0.3,512,cosine,10,10,1.057404059,0.581144236,0.583926445,0.583926445,1.377880777,0.421408067,0.432748538,0.432748538
151,RN50,TRUE,0.001,5.00E-05,6,0.3,512,none,10,10,1.14497032,0.536916682,0.540200862,0.540200862,1.410642086,0.408297491,0.428070175,0.428070175
152,RN50,TRUE,0.001,5.00E-05,6,0.3,512,onecycle,10,10,1.065275338,0.571680534,0.575063777,0.575063777,1.425478085,0.405090458,0.419883041,0.419883041
153,RN50,TRUE,0.001,5.00E-05,6,0.3,512,cosine,10,10,1.057144455,0.58265502,0.584910735,0.584910735,1.458894339,0.382938859,0.4,0.4
154,RN50,TRUE,0.001,0.0001,6,0.5,256,none,10,10,1.297934765,0.452944616,0.459732256,0.459732256,1.396592938,0.359452349,0.387134503,0.387134503
155,RN50,TRUE,0.001,0.0001,6,0.5,256,onecycle,10,10,1.26770127,0.471021646,0.476248864,0.476248864,1.408855743,0.347051638,0.380116959,0.380116959
156,RN50,TRUE,0.001,0.0001,6,0.5,256,cosine,10,10,1.25147802,0.481509817,0.488147891,0.488147891,1.394833535,0.368168017,0.396491228,0.396491228
157,RN50,TRUE,0.001,5.00E-05,6,0.5,256,none,10,10,1.305130687,0.458739632,0.464683486,0.464683486,1.374539604,0.401084451,0.41754386,0.41754386
158,RN50,TRUE,0.001,5.00E-05,6,0.5,256,onecycle,10,10,1.250889118,0.48145659,0.487119896,0.487119896,1.402997367,0.332147398,0.366081871,0.366081871
159,RN50,TRUE,0.001,5.00E-05,6,0.5,256,cosine,10,10,1.246785042,0.477480242,0.484000535,0.484000535,1.375932434,0.366930828,0.394152047,0.394152047
160,RN50,TRUE,0.001,0.0001,6,0.5,512,none,10,10,1.248537661,0.479106082,0.483817041,0.483817041,1.420143432,0.381006298,0.4,0.4
161,RN50,TRUE,0.001,0.0001,6,0.5,512,onecycle,10,10,1.204995516,0.505776252,0.510633379,0.510633379,1.430549703,0.354454304,0.378947368,0.378947368
162,RN50,TRUE,0.001,0.0001,6,0.5,512,cosine,10,10,1.18567074,0.523486836,0.526962092,0.526962092,1.374110538,0.404058414,0.423391813,0.423391813
163,RN50,TRUE,0.001,5.00E-05,6,0.5,512,none,10,10,1.256473961,0.48004778,0.48535124,0.48535124,1.418407688,0.393497567,0.402339181,0.402339181
164,RN50,TRUE,0.001,5.00E-05,6,0.5,512,onecycle,10,10,1.193057304,0.511225729,0.516304732,0.516304732,1.414880385,0.370639844,0.392982456,0.392982456
165,RN50,TRUE,0.001,5.00E-05,6,0.5,512,cosine,10,10,1.181178801,0.525602492,0.530821232,0.530821232,1.379607953,0.382329825,0.398830409,0.398830409
166,RN50,TRUE,0.0003,0.0001,4,0.3,256,none,10,10,1.369291521,0.422605457,0.426975389,0.426975389,1.372340445,0.38532029,0.397660819,0.397660819
167,RN50,TRUE,0.0003,0.0001,4,0.3,256,onecycle,10,10,1.364842632,0.428382891,0.433203496,0.433203496,1.43354825,0.344425998,0.367251462,0.367251462
168,RN50,TRUE,0.0003,0.0001,4,0.3,256,cosine,10,10,1.32405656,0.449680566,0.455295314,0.455295314,1.385018767,0.362414007,0.396491228,0.396491228
169,RN50,TRUE,0.0003,5.00E-05,4,0.3,256,none,10,10,1.351828257,0.435628688,0.439918671,0.439918671,1.372380603,0.380565099,0.398830409,0.398830409
170,RN50,TRUE,0.0003,5.00E-05,4,0.3,256,onecycle,10,10,1.341101756,0.430383182,0.437630298,0.437630298,1.391896661,0.374182179,0.395321637,0.395321637
